Matching	Reference	FactorN	MaxD	Min	Med	Mean	Max	StDev	IQR
GSA	OEE	BAF	10000	0	0.03941201	0.12111378156235643	0.5	0.14695791441884695	0.20222790999999998
GSA	OEE	Distance	10000	0	0.03939523	0.12107342474590176	0.5	0.1469359321943521	0.20213691
GSA	OEE	Full Set	0	0	0.0353643	0.11329038739608588	0.5	0.143624585357069	0.18360610225
GSA	OEE	LRR mean	10000	0	0.03940338	0.12108212904623208	0.5	0.14694870410819766	0.20215260999999998
GSA	OEE	LRR sd	10000	0	0.03939523	0.12099987330475492	0.5	0.14690173525501568	0.20195521
GSA	OEE	Perfect Match	0	0	0.2511727	0.25452370324530105	0.5	0.13704473529009983	0.22388700000000003
OEE	GSA	BAF	10000	0	0.1329832142857143	0.16746501088355614	0.5	0.1536727957525054	0.27814552793877556
OEE	GSA	Distance	10000	0	0.1722090651020408	0.19181266714161585	0.5	0.15837479827129344	0.29248893220408156
OEE	GSA	Full Set	0	0	0.14072788959183674	0.17349844233330491	0.5	0.1599970124455862	0.3048228433622449
OEE	GSA	LRR mean	10000	0	0.16419297989795917	0.18676408602013395	0.5	0.15806166776843122	0.2935298803061225
OEE	GSA	LRR sd	10000	0	0.16935067469387757	0.1899333919050797	0.5	0.1585922221926704	0.2947762740714286
OEE	GSA	Perfect Match	0	0	0.2507669851020408	0.25426706618200146	0.5	0.13685315197817544	0.22376144571428574
OMNI	GSA	BAF	10	0	0.1730361	0.19527380560657517	0.5	0.15240515546296182	0.27683794
OMNI	GSA	BAF	100	0	0.1530203	0.1831155881527838	0.5	0.15405696145878686	0.27448883
OMNI	GSA	BAF	1000	0	0.08649988	0.14716335662740843	0.5	0.15123407878302308	0.24487336999999998
OMNI	GSA	BAF	10000	0	0.04051147	0.11833009343071213	0.5	0.14513881363768624	0.199013512
OMNI	GSA	BAF	100000	0	0.03811659	0.11653372664709594	0.5	0.14441690239770844	0.19116009
OMNI	GSA	BAF	1000000	0	0.03685329	0.1153952968164353	0.5	0.1441129439812798	0.18852681000000002
OMNI	GSA	BAF	50	0	0.1628484	0.18893069321555253	0.5	0.1534791830983179	0.27630731999999997
OMNI	GSA	BAF	500	0	0.1114913	0.1605329112621826	0.5	0.15332310799028423	0.25898292
OMNI	GSA	BAF	5000	0	0.04506742	0.12172014473279105	0.5	0.14576153788116936	0.206241916
OMNI	GSA	BAF	50000	0	0.03859773	0.11685769558829233	0.5	0.14456353398380264	0.192642245
OMNI	GSA	BAF	500000	0	0.03721645	0.11573063419630757	0.5	0.1441493129713179	0.18893369
OMNI	GSA	BAF	5000000	0	0.03684834	0.11533288569314695	0.5	0.14406969353674287	0.18800341999999998
OMNI	GSA	Distance	10	0	0.1730451	0.19529318901122938	0.5	0.15240496995257055	0.27683474
OMNI	GSA	Distance	100	0	0.155026	0.1842835268267413	0.5	0.15413521550874698	0.27532135999999996
OMNI	GSA	Distance	1000	0	0.1183837	0.16442426238936758	0.5	0.15511134498490145	0.26730215
OMNI	GSA	Distance	10000	0	0.1052195	0.15768652068721284	0.5	0.15492343263411276	0.26374144
OMNI	GSA	Distance	100000	0	0.10430035	0.15717075564677715	0.5	0.15487656938426897	0.26349038
OMNI	GSA	Distance	1000000	0	0.1038026	0.1569098077027569	0.5	0.1548637795067891	0.26331798
OMNI	GSA	Distance	50	0	0.1634181	0.18930516605305447	0.5	0.153493962474572	0.2765161625
OMNI	GSA	Distance	500	0	0.1287807	0.1698788926210484	0.5	0.1550931348442873	0.27001485999999997
OMNI	GSA	Distance	5000	0	0.1063539	0.1582680934242204	0.5	0.15494979284223379	0.2641435
OMNI	GSA	Distance	50000	0	0.1045304	0.15729185553568126	0.5	0.15489261117901182	0.26357414
OMNI	GSA	Distance	500000	0	0.1038394	0.15692533736309763	0.5	0.15486699019546468	0.26331923
OMNI	GSA	Distance	5000000	0	0.1037535	0.15688293205263873	0.5	0.15486713746349104	0.26331756
OMNI	GSA	Full Set	0	0	0.07412239	0.13926990852915594	0.5	0.15297956095308518	0.245576801
OMNI	GSA	LRR mean	10	0	0.1730451	0.19528916877701705	0.5	0.1524043891383085	0.2768392625
OMNI	GSA	LRR mean	100	0	0.1538006	0.18363490839293103	0.5	0.1541012534866536	0.27484063
OMNI	GSA	LRR mean	1000	0	0.1026912	0.1557874329835443	0.5	0.15317813313289202	0.25602815
OMNI	GSA	LRR mean	10000	0	0.08040141	0.14272004600291366	0.5	0.15075647016669677	0.24078037000000002
OMNI	GSA	LRR mean	100000	0	0.08503079	0.14491791091802528	0.5	0.15112397102650035	0.24340178
OMNI	GSA	LRR mean	1000000	0	0.08502958499999999	0.14481227999526392	0.5	0.15106895160971356	0.24286160999999998
OMNI	GSA	LRR mean	50	0	0.1630871	0.18907752491221322	0.5	0.15348430917323844	0.27638418
OMNI	GSA	LRR mean	500	0	0.1197216	0.16497772424499146	0.5	0.1541250452574275	0.26380388
OMNI	GSA	LRR mean	5000	0	0.07994323	0.1425212444306754	0.5	0.15068916908941055	0.24020704
OMNI	GSA	LRR mean	50000	0	0.08447543	0.14471376743391767	0.5	0.15110243273365243	0.24307279
OMNI	GSA	LRR mean	500000	0	0.08495870999999999	0.14483640036812095	0.5	0.1511781928836404	0.24304435
OMNI	GSA	LRR mean	5000000	0	0.0857904	0.1451975612927818	0.5	0.15108433379911174	0.24333206
OMNI	GSA	LRR sd	10	0	0.17304735	0.19529567743061116	0.5	0.15240334552787113	0.27685374
OMNI	GSA	LRR sd	100	0	0.1551358	0.18438124656973745	0.5	0.15416519826964137	0.27548707
OMNI	GSA	LRR sd	1000	0	0.1208117	0.16579352659366722	0.5	0.15522107520509587	0.26858919
OMNI	GSA	LRR sd	10000	0	0.11077	0.16060255986196711	0.5	0.155375407967657	0.26701743
OMNI	GSA	LRR sd	100000	0	0.1096036	0.15981495461279224	0.5	0.15532061773486308	0.26686345
OMNI	GSA	LRR sd	1000000	0	0.1111373	0.16044179685040005	0.5	0.155453207635448	0.26770271
OMNI	GSA	LRR sd	50	0	0.1634411	0.1893104011954884	0.5	0.15350082144991906	0.27652315
OMNI	GSA	LRR sd	500	0	0.1301063	0.17056770494759882	0.5	0.15510440105438067	0.27038557
OMNI	GSA	LRR sd	5000	0	0.111623	0.1610178448458571	0.5	0.1553547444614656	0.26702570000000003
OMNI	GSA	LRR sd	50000	0	0.1097734	0.1599092928055046	0.5	0.15532119990102125	0.26690329
OMNI	GSA	LRR sd	500000	0	0.1102662	0.16006703288383378	0.5	0.15546442926600987	0.2673775
OMNI	GSA	LRR sd	5000000	0	0.1120038	0.16089988803282326	0.5	0.1554957515020611	0.267972015
OMNI	GSA	Perfect Match	0	0	0.25672965000000003	0.26150648174283225	0.5	0.13210521852667836	0.21581900000000004
