Method	MaxD	QC	Ref	Mat	LEN_Cutoff	N_SNP_Cutoff	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
PerfectMatch	0	QCd	GSA	OEE	160000	50	136	9	87	0.61	0.938	0.39	0.062	0.739	0.756	0.586
PerfectMatch	0	Raw	GSA	OEE	180000	10	193	50	276	0.412	0.794	0.588	0.206	0.542	0.572	0.372
PerfectMatch	0	QCd	GSA	OEE	180000	10	144	20	205	0.413	0.878	0.587	0.122	0.561	0.602	0.39
PerfectMatch	0	Raw	GSA	OEE	180000	15	192	46	245	0.439	0.807	0.561	0.193	0.569	0.595	0.398
PerfectMatch	0	QCd	GSA	OEE	180000	15	143	18	184	0.437	0.888	0.563	0.112	0.586	0.623	0.414
PerfectMatch	0	Raw	GSA	OEE	180000	20	188	45	222	0.459	0.807	0.541	0.193	0.585	0.608	0.413
PerfectMatch	0	QCd	GSA	OEE	180000	20	139	17	168	0.453	0.891	0.547	0.109	0.6	0.635	0.429
PerfectMatch	0	Raw	GSA	OEE	180000	25	186	42	196	0.487	0.816	0.513	0.184	0.61	0.63	0.439
PerfectMatch	0	QCd	GSA	OEE	180000	25	138	17	151	0.478	0.89	0.522	0.11	0.622	0.652	0.451
PerfectMatch	0	Raw	GSA	OEE	180000	30	182	39	168	0.52	0.824	0.48	0.176	0.637	0.654	0.468
PerfectMatch	0	QCd	GSA	OEE	180000	30	134	15	131	0.506	0.899	0.494	0.101	0.647	0.674	0.479
PerfectMatch	0	Raw	GSA	OEE	180000	35	179	35	155	0.536	0.836	0.464	0.164	0.653	0.67	0.485
PerfectMatch	0	QCd	GSA	OEE	180000	35	131	11	122	0.518	0.923	0.482	0.077	0.663	0.691	0.496
PerfectMatch	0	Raw	GSA	OEE	180000	40	177	26	127	0.582	0.872	0.418	0.128	0.698	0.713	0.536
PerfectMatch	0	QCd	GSA	OEE	180000	40	130	5	98	0.57	0.963	0.43	0.037	0.716	0.741	0.558
PerfectMatch	0	Raw	GSA	OEE	180000	45	174	23	116	0.6	0.883	0.4	0.117	0.715	0.728	0.556
PerfectMatch	0	QCd	GSA	OEE	180000	45	128	5	90	0.587	0.962	0.413	0.038	0.729	0.752	0.574
PerfectMatch	0	Raw	GSA	OEE	180000	50	166	24	102	0.619	0.874	0.381	0.126	0.725	0.736	0.568
PerfectMatch	0	QCd	GSA	OEE	180000	50	124	5	80	0.608	0.961	0.392	0.039	0.745	0.764	0.593
PerfectMatch	0	Raw	GSA	OEE	200000	10	170	43	213	0.444	0.798	0.556	0.202	0.57	0.595	0.399
PerfectMatch	0	QCd	GSA	OEE	200000	10	126	19	163	0.436	0.869	0.564	0.131	0.581	0.616	0.409
PerfectMatch	0	Raw	GSA	OEE	200000	15	169	40	190	0.471	0.809	0.529	0.191	0.595	0.617	0.424
PerfectMatch	0	QCd	GSA	OEE	200000	15	125	16	148	0.458	0.887	0.542	0.113	0.604	0.637	0.433
PerfectMatch	0	Raw	GSA	OEE	200000	20	167	39	171	0.494	0.811	0.506	0.189	0.614	0.633	0.443
PerfectMatch	0	QCd	GSA	OEE	200000	20	123	15	133	0.48	0.891	0.52	0.109	0.624	0.654	0.454
PerfectMatch	0	Raw	GSA	OEE	200000	25	166	37	156	0.516	0.818	0.484	0.182	0.632	0.649	0.462
PerfectMatch	0	QCd	GSA	OEE	200000	25	123	15	122	0.502	0.891	0.498	0.109	0.642	0.669	0.473
PerfectMatch	0	Raw	GSA	OEE	200000	30	162	35	146	0.526	0.822	0.474	0.178	0.642	0.658	0.472
PerfectMatch	0	QCd	GSA	OEE	200000	30	119	13	114	0.511	0.902	0.489	0.098	0.652	0.679	0.484
PerfectMatch	0	Raw	GSA	OEE	200000	35	159	33	137	0.537	0.828	0.463	0.172	0.652	0.667	0.483
PerfectMatch	0	QCd	GSA	OEE	200000	35	116	11	108	0.518	0.913	0.482	0.087	0.661	0.688	0.494
PerfectMatch	0	Raw	GSA	OEE	200000	40	157	28	117	0.573	0.849	0.427	0.151	0.684	0.697	0.52
PerfectMatch	0	QCd	GSA	OEE	200000	40	115	8	91	0.558	0.935	0.442	0.065	0.699	0.722	0.537
PerfectMatch	0	Raw	GSA	OEE	200000	45	154	24	108	0.588	0.865	0.412	0.135	0.7	0.713	0.538
PerfectMatch	0	QCd	GSA	OEE	200000	45	113	7	85	0.571	0.942	0.429	0.058	0.711	0.733	0.551
PerfectMatch	0	Raw	GSA	OEE	200000	50	148	24	93	0.614	0.86	0.386	0.14	0.717	0.727	0.558
PerfectMatch	0	QCd	GSA	OEE	200000	50	110	7	75	0.595	0.94	0.405	0.06	0.728	0.748	0.573
PerfectMatch	0	Raw	GSA	OEE	220000	10	140	28	132	0.515	0.833	0.485	0.167	0.636	0.655	0.467
PerfectMatch	0	QCd	GSA	OEE	220000	10	101	10	95	0.515	0.91	0.485	0.09	0.658	0.685	0.49
PerfectMatch	0	Raw	GSA	OEE	220000	15	140	27	118	0.543	0.838	0.457	0.162	0.659	0.674	0.491
PerfectMatch	0	QCd	GSA	OEE	220000	15	101	9	89	0.532	0.918	0.468	0.082	0.673	0.699	0.508
PerfectMatch	0	Raw	GSA	OEE	220000	20	139	27	103	0.574	0.837	0.426	0.163	0.681	0.694	0.517
PerfectMatch	0	QCd	GSA	OEE	220000	20	100	9	78	0.562	0.917	0.438	0.083	0.697	0.718	0.535
PerfectMatch	0	Raw	GSA	OEE	220000	25	138	26	93	0.597	0.841	0.403	0.159	0.699	0.709	0.537
PerfectMatch	0	QCd	GSA	OEE	220000	25	100	9	70	0.588	0.917	0.412	0.083	0.717	0.735	0.559
PerfectMatch	0	Raw	GSA	OEE	220000	30	135	26	90	0.6	0.839	0.4	0.161	0.699	0.709	0.538
PerfectMatch	0	QCd	GSA	OEE	220000	30	97	9	68	0.588	0.915	0.412	0.085	0.716	0.733	0.557
PerfectMatch	0	Raw	GSA	OEE	220000	35	132	24	84	0.611	0.846	0.389	0.154	0.71	0.719	0.55
PerfectMatch	0	QCd	GSA	OEE	220000	35	94	7	64	0.595	0.931	0.405	0.069	0.726	0.744	0.57
PerfectMatch	0	Raw	GSA	OEE	220000	40	131	22	71	0.649	0.856	0.351	0.144	0.738	0.745	0.585
PerfectMatch	0	QCd	GSA	OEE	220000	40	94	5	53	0.639	0.949	0.361	0.051	0.764	0.779	0.618
PerfectMatch	0	Raw	GSA	OEE	220000	45	128	18	64	0.667	0.877	0.333	0.123	0.757	0.765	0.61
PerfectMatch	0	QCd	GSA	OEE	220000	45	92	4	49	0.652	0.958	0.348	0.042	0.776	0.791	0.634
PerfectMatch	0	Raw	GSA	OEE	220000	50	123	18	56	0.687	0.872	0.313	0.128	0.769	0.774	0.624
PerfectMatch	0	QCd	GSA	OEE	220000	50	90	4	45	0.667	0.957	0.333	0.043	0.786	0.799	0.647
PerfectMatch	0	Raw	GSA	OEE	240000	10	124	28	110	0.53	0.816	0.47	0.184	0.642	0.657	0.473
PerfectMatch	0	QCd	GSA	OEE	240000	10	90	11	83	0.52	0.891	0.48	0.109	0.657	0.681	0.489
PerfectMatch	0	Raw	GSA	OEE	240000	15	124	28	103	0.546	0.816	0.454	0.184	0.654	0.668	0.486
PerfectMatch	0	QCd	GSA	OEE	240000	15	90	11	80	0.529	0.891	0.471	0.109	0.664	0.687	0.497
PerfectMatch	0	Raw	GSA	OEE	240000	20	124	27	93	0.571	0.821	0.429	0.179	0.674	0.685	0.508
PerfectMatch	0	QCd	GSA	OEE	240000	20	90	10	73	0.552	0.9	0.448	0.1	0.684	0.705	0.52
PerfectMatch	0	Raw	GSA	OEE	240000	25	123	26	83	0.597	0.826	0.403	0.174	0.693	0.702	0.53
PerfectMatch	0	QCd	GSA	OEE	240000	25	90	10	64	0.584	0.9	0.416	0.1	0.709	0.725	0.549
PerfectMatch	0	Raw	GSA	OEE	240000	30	120	26	81	0.597	0.822	0.403	0.178	0.692	0.7	0.529
PerfectMatch	0	QCd	GSA	OEE	240000	30	87	10	62	0.584	0.897	0.416	0.103	0.707	0.724	0.547
PerfectMatch	0	Raw	GSA	OEE	240000	35	117	25	78	0.6	0.824	0.4	0.176	0.694	0.703	0.532
PerfectMatch	0	QCd	GSA	OEE	240000	35	84	9	60	0.583	0.903	0.417	0.097	0.709	0.726	0.549
PerfectMatch	0	Raw	GSA	OEE	240000	40	116	23	66	0.637	0.835	0.363	0.165	0.723	0.729	0.566
PerfectMatch	0	QCd	GSA	OEE	240000	40	84	7	50	0.627	0.923	0.373	0.077	0.747	0.761	0.596
PerfectMatch	0	Raw	GSA	OEE	240000	45	113	20	61	0.649	0.85	0.351	0.15	0.736	0.743	0.582
PerfectMatch	0	QCd	GSA	OEE	240000	45	82	6	47	0.636	0.932	0.364	0.068	0.756	0.77	0.607
PerfectMatch	0	Raw	GSA	OEE	240000	50	109	20	54	0.669	0.845	0.331	0.155	0.747	0.752	0.596
PerfectMatch	0	QCd	GSA	OEE	240000	50	80	6	43	0.65	0.93	0.35	0.07	0.766	0.778	0.62
PerfectMatch	0	Raw	GSA	OEE	260000	10	111	21	82	0.575	0.841	0.425	0.159	0.683	0.695	0.519
PerfectMatch	0	QCd	GSA	OEE	260000	10	82	8	62	0.569	0.911	0.431	0.089	0.701	0.72	0.539
PerfectMatch	0	Raw	GSA	OEE	260000	15	111	21	77	0.59	0.841	0.41	0.159	0.694	0.705	0.531
PerfectMatch	0	QCd	GSA	OEE	260000	15	82	8	60	0.577	0.911	0.423	0.089	0.707	0.725	0.547
PerfectMatch	0	Raw	GSA	OEE	260000	20	111	20	70	0.613	0.847	0.387	0.153	0.712	0.721	0.552
PerfectMatch	0	QCd	GSA	OEE	260000	20	82	7	55	0.599	0.921	0.401	0.079	0.726	0.743	0.569
PerfectMatch	0	Raw	GSA	OEE	260000	25	110	20	65	0.629	0.846	0.371	0.154	0.721	0.729	0.564
PerfectMatch	0	QCd	GSA	OEE	260000	25	82	7	50	0.621	0.921	0.379	0.079	0.742	0.757	0.59
PerfectMatch	0	Raw	GSA	OEE	260000	30	109	20	64	0.63	0.845	0.37	0.155	0.722	0.73	0.565
PerfectMatch	0	QCd	GSA	OEE	260000	30	81	7	49	0.623	0.92	0.377	0.08	0.743	0.757	0.591
PerfectMatch	0	Raw	GSA	OEE	260000	35	106	19	61	0.635	0.848	0.365	0.152	0.726	0.734	0.57
PerfectMatch	0	QCd	GSA	OEE	260000	35	78	6	47	0.624	0.929	0.376	0.071	0.746	0.761	0.595
PerfectMatch	0	Raw	GSA	OEE	260000	40	106	17	53	0.667	0.862	0.333	0.138	0.752	0.758	0.602
PerfectMatch	0	QCd	GSA	OEE	260000	40	78	4	40	0.661	0.951	0.339	0.049	0.78	0.793	0.639
PerfectMatch	0	Raw	GSA	OEE	260000	45	103	15	49	0.678	0.873	0.322	0.127	0.763	0.769	0.617
PerfectMatch	0	QCd	GSA	OEE	260000	45	76	3	38	0.667	0.962	0.333	0.038	0.788	0.801	0.65
PerfectMatch	0	Raw	GSA	OEE	260000	50	100	14	43	0.699	0.877	0.301	0.123	0.778	0.783	0.637
PerfectMatch	0	QCd	GSA	OEE	260000	50	75	3	35	0.682	0.962	0.318	0.038	0.798	0.81	0.664
PerfectMatch	0	Raw	GSA	OEE	280000	10	95	18	64	0.597	0.841	0.403	0.159	0.699	0.709	0.537
PerfectMatch	0	QCd	GSA	OEE	280000	10	69	7	54	0.561	0.908	0.439	0.092	0.693	0.714	0.531
PerfectMatch	0	Raw	GSA	OEE	280000	15	95	18	63	0.601	0.841	0.399	0.159	0.701	0.711	0.54
PerfectMatch	0	QCd	GSA	OEE	280000	15	69	7	53	0.566	0.908	0.434	0.092	0.697	0.717	0.535
PerfectMatch	0	Raw	GSA	OEE	280000	20	95	17	57	0.625	0.848	0.375	0.152	0.72	0.728	0.562
PerfectMatch	0	QCd	GSA	OEE	280000	20	69	6	48	0.59	0.92	0.41	0.08	0.719	0.737	0.561
PerfectMatch	0	Raw	GSA	OEE	280000	25	94	17	52	0.644	0.847	0.356	0.153	0.732	0.738	0.577
PerfectMatch	0	QCd	GSA	OEE	280000	25	69	6	43	0.616	0.92	0.384	0.08	0.738	0.753	0.585
PerfectMatch	0	Raw	GSA	OEE	280000	30	93	17	51	0.646	0.845	0.354	0.155	0.732	0.739	0.578
PerfectMatch	0	QCd	GSA	OEE	280000	30	68	6	42	0.618	0.919	0.382	0.081	0.739	0.754	0.586
PerfectMatch	0	Raw	GSA	OEE	280000	35	92	17	50	0.648	0.844	0.352	0.156	0.733	0.739	0.579
PerfectMatch	0	QCd	GSA	OEE	280000	35	67	6	41	0.62	0.918	0.38	0.082	0.74	0.755	0.588
PerfectMatch	0	Raw	GSA	OEE	280000	40	92	15	42	0.687	0.86	0.313	0.14	0.763	0.768	0.617
PerfectMatch	0	QCd	GSA	OEE	280000	40	67	4	34	0.663	0.944	0.337	0.056	0.779	0.791	0.638
PerfectMatch	0	Raw	GSA	OEE	280000	45	91	14	40	0.695	0.867	0.305	0.133	0.771	0.776	0.628
PerfectMatch	0	QCd	GSA	OEE	280000	45	66	3	32	0.673	0.957	0.327	0.043	0.79	0.803	0.653
PerfectMatch	0	Raw	GSA	OEE	280000	50	89	13	37	0.706	0.873	0.294	0.127	0.781	0.785	0.64
PerfectMatch	0	QCd	GSA	OEE	280000	50	66	3	30	0.688	0.957	0.312	0.043	0.8	0.811	0.667
PerfectMatch	0	Raw	GSA	OEE	300000	10	87	14	55	0.613	0.861	0.387	0.139	0.716	0.726	0.558
PerfectMatch	0	QCd	GSA	OEE	300000	10	64	5	47	0.577	0.928	0.423	0.072	0.711	0.731	0.552
PerfectMatch	0	Raw	GSA	OEE	300000	15	87	14	54	0.617	0.861	0.383	0.139	0.719	0.729	0.561
PerfectMatch	0	QCd	GSA	OEE	300000	15	64	5	46	0.582	0.928	0.418	0.072	0.715	0.735	0.557
PerfectMatch	0	Raw	GSA	OEE	300000	20	87	13	49	0.64	0.87	0.36	0.13	0.737	0.746	0.584
PerfectMatch	0	QCd	GSA	OEE	300000	20	64	4	42	0.604	0.941	0.396	0.059	0.736	0.754	0.582
PerfectMatch	0	Raw	GSA	OEE	300000	25	86	13	46	0.652	0.869	0.348	0.131	0.745	0.752	0.593
PerfectMatch	0	QCd	GSA	OEE	300000	25	64	4	39	0.621	0.941	0.379	0.059	0.749	0.765	0.598
PerfectMatch	0	Raw	GSA	OEE	300000	30	85	13	45	0.654	0.867	0.346	0.133	0.746	0.753	0.594
PerfectMatch	0	QCd	GSA	OEE	300000	30	63	4	38	0.624	0.94	0.376	0.06	0.75	0.766	0.6
PerfectMatch	0	Raw	GSA	OEE	300000	35	84	13	44	0.656	0.866	0.344	0.134	0.747	0.754	0.596
PerfectMatch	0	QCd	GSA	OEE	300000	35	62	4	37	0.626	0.939	0.374	0.061	0.752	0.767	0.602
PerfectMatch	0	Raw	GSA	OEE	300000	40	84	11	37	0.694	0.884	0.306	0.116	0.778	0.783	0.636
PerfectMatch	0	QCd	GSA	OEE	300000	40	62	2	31	0.667	0.969	0.333	0.031	0.79	0.804	0.653
PerfectMatch	0	Raw	GSA	OEE	300000	45	83	11	36	0.697	0.883	0.303	0.117	0.779	0.785	0.638
PerfectMatch	0	QCd	GSA	OEE	300000	45	61	2	30	0.67	0.968	0.33	0.032	0.792	0.806	0.656
PerfectMatch	0	Raw	GSA	OEE	300000	50	81	11	35	0.698	0.88	0.302	0.12	0.779	0.784	0.638
PerfectMatch	0	QCd	GSA	OEE	300000	50	61	2	29	0.678	0.968	0.322	0.032	0.797	0.81	0.663
PerfectMatch	0	Raw	GSA	OEE	320000	10	78	13	49	0.614	0.857	0.386	0.143	0.716	0.726	0.557
PerfectMatch	0	QCd	GSA	OEE	320000	10	58	5	39	0.598	0.921	0.402	0.079	0.725	0.742	0.569
PerfectMatch	0	Raw	GSA	OEE	320000	15	78	13	49	0.614	0.857	0.386	0.143	0.716	0.726	0.557
PerfectMatch	0	QCd	GSA	OEE	320000	15	58	5	39	0.598	0.921	0.402	0.079	0.725	0.742	0.569
PerfectMatch	0	Raw	GSA	OEE	320000	20	78	13	46	0.629	0.857	0.371	0.143	0.726	0.734	0.569
PerfectMatch	0	QCd	GSA	OEE	320000	20	58	5	37	0.611	0.921	0.389	0.079	0.734	0.75	0.58
PerfectMatch	0	Raw	GSA	OEE	320000	25	77	12	43	0.642	0.865	0.358	0.135	0.737	0.745	0.583
PerfectMatch	0	QCd	GSA	OEE	320000	25	58	4	34	0.63	0.935	0.37	0.065	0.753	0.768	0.604
PerfectMatch	0	Raw	GSA	OEE	320000	30	76	12	42	0.644	0.864	0.356	0.136	0.738	0.746	0.585
PerfectMatch	0	QCd	GSA	OEE	320000	30	57	4	33	0.633	0.934	0.367	0.066	0.755	0.769	0.606
PerfectMatch	0	Raw	GSA	OEE	320000	35	75	12	42	0.641	0.862	0.359	0.138	0.735	0.743	0.581
PerfectMatch	0	QCd	GSA	OEE	320000	35	56	4	33	0.629	0.933	0.371	0.067	0.752	0.766	0.602
PerfectMatch	0	Raw	GSA	OEE	320000	40	75	10	35	0.682	0.882	0.318	0.118	0.769	0.776	0.625
PerfectMatch	0	QCd	GSA	OEE	320000	40	56	2	27	0.675	0.966	0.325	0.034	0.794	0.807	0.659
PerfectMatch	0	Raw	GSA	OEE	320000	45	75	10	34	0.688	0.882	0.312	0.118	0.773	0.779	0.63
PerfectMatch	0	QCd	GSA	OEE	320000	45	56	2	26	0.683	0.966	0.317	0.034	0.8	0.812	0.667
PerfectMatch	0	Raw	GSA	OEE	320000	50	74	10	33	0.692	0.881	0.308	0.119	0.775	0.781	0.632
PerfectMatch	0	QCd	GSA	OEE	320000	50	56	2	25	0.691	0.966	0.309	0.034	0.806	0.817	0.675
PerfectMatch	0	Raw	GSA	OEE	340000	10	67	14	40	0.626	0.827	0.374	0.173	0.713	0.72	0.554
PerfectMatch	0	QCd	GSA	OEE	340000	10	49	6	31	0.613	0.891	0.388	0.109	0.726	0.739	0.57
PerfectMatch	0	Raw	GSA	OEE	340000	15	67	14	40	0.626	0.827	0.374	0.173	0.713	0.72	0.554
PerfectMatch	0	QCd	GSA	OEE	340000	15	49	6	31	0.613	0.891	0.388	0.109	0.726	0.739	0.57
PerfectMatch	0	Raw	GSA	OEE	340000	20	67	14	40	0.626	0.827	0.374	0.173	0.713	0.72	0.554
PerfectMatch	0	QCd	GSA	OEE	340000	20	49	6	31	0.613	0.891	0.388	0.109	0.726	0.739	0.57
PerfectMatch	0	Raw	GSA	OEE	340000	25	66	13	38	0.635	0.835	0.365	0.165	0.721	0.728	0.564
PerfectMatch	0	QCd	GSA	OEE	340000	25	49	5	29	0.628	0.907	0.372	0.093	0.742	0.755	0.59
PerfectMatch	0	Raw	GSA	OEE	340000	30	65	13	38	0.631	0.833	0.369	0.167	0.718	0.725	0.56
PerfectMatch	0	QCd	GSA	OEE	340000	30	48	5	29	0.623	0.906	0.377	0.094	0.738	0.751	0.585
PerfectMatch	0	Raw	GSA	OEE	340000	35	64	13	38	0.627	0.831	0.373	0.169	0.715	0.722	0.557
PerfectMatch	0	QCd	GSA	OEE	340000	35	47	5	29	0.618	0.904	0.382	0.096	0.734	0.748	0.58
PerfectMatch	0	Raw	GSA	OEE	340000	40	64	11	31	0.674	0.853	0.326	0.147	0.753	0.758	0.604
PerfectMatch	0	QCd	GSA	OEE	340000	40	47	3	23	0.671	0.94	0.329	0.06	0.783	0.794	0.644
PerfectMatch	0	Raw	GSA	OEE	340000	45	64	11	30	0.681	0.853	0.319	0.147	0.757	0.762	0.61
PerfectMatch	0	QCd	GSA	OEE	340000	45	47	3	22	0.681	0.94	0.319	0.06	0.79	0.8	0.653
PerfectMatch	0	Raw	GSA	OEE	340000	50	64	11	30	0.681	0.853	0.319	0.147	0.757	0.762	0.61
PerfectMatch	0	QCd	GSA	OEE	340000	50	47	3	22	0.681	0.94	0.319	0.06	0.79	0.8	0.653
PerfectMatch	0	Raw	GSA	OEE	360000	10	60	11	32	0.652	0.845	0.348	0.155	0.736	0.742	0.583
PerfectMatch	0	QCd	GSA	OEE	360000	10	43	4	25	0.632	0.915	0.368	0.085	0.748	0.761	0.597
PerfectMatch	0	Raw	GSA	OEE	360000	15	60	11	32	0.652	0.845	0.348	0.155	0.736	0.742	0.583
PerfectMatch	0	QCd	GSA	OEE	360000	15	43	4	25	0.632	0.915	0.368	0.085	0.748	0.761	0.597
PerfectMatch	0	Raw	GSA	OEE	360000	20	60	11	32	0.652	0.845	0.348	0.155	0.736	0.742	0.583
PerfectMatch	0	QCd	GSA	OEE	360000	20	43	4	25	0.632	0.915	0.368	0.085	0.748	0.761	0.597
PerfectMatch	0	Raw	GSA	OEE	360000	25	59	11	31	0.656	0.843	0.344	0.157	0.738	0.743	0.584
PerfectMatch	0	QCd	GSA	OEE	360000	25	43	4	24	0.642	0.915	0.358	0.085	0.754	0.766	0.606
PerfectMatch	0	Raw	GSA	OEE	360000	30	58	11	31	0.652	0.841	0.348	0.159	0.734	0.74	0.58
PerfectMatch	0	QCd	GSA	OEE	360000	30	42	4	24	0.636	0.913	0.364	0.087	0.75	0.762	0.6
PerfectMatch	0	Raw	GSA	OEE	360000	35	58	11	31	0.652	0.841	0.348	0.159	0.734	0.74	0.58
PerfectMatch	0	QCd	GSA	OEE	360000	35	42	4	24	0.636	0.913	0.364	0.087	0.75	0.762	0.6
PerfectMatch	0	Raw	GSA	OEE	360000	40	58	9	24	0.707	0.866	0.293	0.134	0.779	0.782	0.637
PerfectMatch	0	QCd	GSA	OEE	360000	40	42	2	18	0.7	0.955	0.3	0.045	0.808	0.817	0.677
PerfectMatch	0	Raw	GSA	OEE	360000	45	58	9	24	0.707	0.866	0.293	0.134	0.779	0.782	0.637
PerfectMatch	0	QCd	GSA	OEE	360000	45	42	2	18	0.7	0.955	0.3	0.045	0.808	0.817	0.677
PerfectMatch	0	Raw	GSA	OEE	360000	50	58	9	24	0.707	0.866	0.293	0.134	0.779	0.782	0.637
PerfectMatch	0	QCd	GSA	OEE	360000	50	42	2	18	0.7	0.955	0.3	0.045	0.808	0.817	0.677
PerfectMatch	0	Raw	GSA	OEE	380000	10	55	4	24	0.696	0.932	0.304	0.068	0.797	0.806	0.663
PerfectMatch	0	QCd	GSA	OEE	380000	10	38	2	19	0.667	0.95	0.333	0.05	0.784	0.796	0.644
PerfectMatch	0	Raw	GSA	OEE	380000	15	55	4	24	0.696	0.932	0.304	0.068	0.797	0.806	0.663
PerfectMatch	0	QCd	GSA	OEE	380000	15	38	2	19	0.667	0.95	0.333	0.05	0.784	0.796	0.644
PerfectMatch	0	Raw	GSA	OEE	380000	20	55	4	24	0.696	0.932	0.304	0.068	0.797	0.806	0.663
PerfectMatch	0	QCd	GSA	OEE	380000	20	38	2	19	0.667	0.95	0.333	0.05	0.784	0.796	0.644
PerfectMatch	0	Raw	GSA	OEE	380000	25	54	4	23	0.701	0.931	0.299	0.069	0.8	0.808	0.667
PerfectMatch	0	QCd	GSA	OEE	380000	25	38	2	18	0.679	0.95	0.321	0.05	0.792	0.803	0.655
PerfectMatch	0	Raw	GSA	OEE	380000	30	53	4	23	0.697	0.93	0.303	0.07	0.797	0.805	0.662
PerfectMatch	0	QCd	GSA	OEE	380000	30	37	2	18	0.673	0.949	0.327	0.051	0.787	0.799	0.649
PerfectMatch	0	Raw	GSA	OEE	380000	35	53	4	23	0.697	0.93	0.303	0.07	0.797	0.805	0.662
PerfectMatch	0	QCd	GSA	OEE	380000	35	37	2	18	0.673	0.949	0.327	0.051	0.787	0.799	0.649
PerfectMatch	0	Raw	GSA	OEE	380000	40	53	4	22	0.707	0.93	0.293	0.07	0.803	0.811	0.671
PerfectMatch	0	QCd	GSA	OEE	380000	40	37	2	18	0.673	0.949	0.327	0.051	0.787	0.799	0.649
PerfectMatch	0	Raw	GSA	OEE	380000	45	53	4	22	0.707	0.93	0.293	0.07	0.803	0.811	0.671
PerfectMatch	0	QCd	GSA	OEE	380000	45	37	2	18	0.673	0.949	0.327	0.051	0.787	0.799	0.649
PerfectMatch	0	Raw	GSA	OEE	380000	50	53	4	22	0.707	0.93	0.293	0.07	0.803	0.811	0.671
PerfectMatch	0	QCd	GSA	OEE	380000	50	37	2	18	0.673	0.949	0.327	0.051	0.787	0.799	0.649
PerfectMatch	0	Raw	GSA	OEE	400000	10	49	3	20	0.71	0.942	0.29	0.058	0.81	0.818	0.681
PerfectMatch	0	QCd	GSA	OEE	400000	10	34	1	17	0.667	0.971	0.333	0.029	0.791	0.805	0.654
PerfectMatch	0	Raw	GSA	OEE	400000	15	49	3	20	0.71	0.942	0.29	0.058	0.81	0.818	0.681
PerfectMatch	0	QCd	GSA	OEE	400000	15	34	1	17	0.667	0.971	0.333	0.029	0.791	0.805	0.654
PerfectMatch	0	Raw	GSA	OEE	400000	20	49	3	20	0.71	0.942	0.29	0.058	0.81	0.818	0.681
PerfectMatch	0	QCd	GSA	OEE	400000	20	34	1	17	0.667	0.971	0.333	0.029	0.791	0.805	0.654
PerfectMatch	0	Raw	GSA	OEE	400000	25	48	3	19	0.716	0.941	0.284	0.059	0.814	0.821	0.686
PerfectMatch	0	QCd	GSA	OEE	400000	25	34	1	16	0.68	0.971	0.32	0.029	0.8	0.813	0.667
PerfectMatch	0	Raw	GSA	OEE	400000	30	47	3	19	0.712	0.94	0.288	0.06	0.81	0.818	0.681
PerfectMatch	0	QCd	GSA	OEE	400000	30	33	1	16	0.673	0.971	0.327	0.029	0.795	0.808	0.66
PerfectMatch	0	Raw	GSA	OEE	400000	35	47	3	19	0.712	0.94	0.288	0.06	0.81	0.818	0.681
PerfectMatch	0	QCd	GSA	OEE	400000	35	33	1	16	0.673	0.971	0.327	0.029	0.795	0.808	0.66
PerfectMatch	0	Raw	GSA	OEE	400000	40	47	3	18	0.723	0.94	0.277	0.06	0.817	0.824	0.691
PerfectMatch	0	QCd	GSA	OEE	400000	40	33	1	16	0.673	0.971	0.327	0.029	0.795	0.808	0.66
PerfectMatch	0	Raw	GSA	OEE	400000	45	47	3	18	0.723	0.94	0.277	0.06	0.817	0.824	0.691
PerfectMatch	0	QCd	GSA	OEE	400000	45	33	1	16	0.673	0.971	0.327	0.029	0.795	0.808	0.66
PerfectMatch	0	Raw	GSA	OEE	400000	50	47	3	18	0.723	0.94	0.277	0.06	0.817	0.824	0.691
PerfectMatch	0	QCd	GSA	OEE	400000	50	33	1	16	0.673	0.971	0.327	0.029	0.795	0.808	0.66
PerfectMatch	0	Raw	GSA	OEE	420000	10	45	1	12	0.789	0.978	0.211	0.022	0.874	0.879	0.776
PerfectMatch	0	QCd	GSA	OEE	420000	10	32	0	11	0.744	1	0.256	0	0.853	0.863	0.744
PerfectMatch	0	Raw	GSA	OEE	420000	15	45	1	12	0.789	0.978	0.211	0.022	0.874	0.879	0.776
PerfectMatch	0	QCd	GSA	OEE	420000	15	32	0	11	0.744	1	0.256	0	0.853	0.863	0.744
PerfectMatch	0	Raw	GSA	OEE	420000	20	45	1	12	0.789	0.978	0.211	0.022	0.874	0.879	0.776
PerfectMatch	0	QCd	GSA	OEE	420000	20	32	0	11	0.744	1	0.256	0	0.853	0.863	0.744
PerfectMatch	0	Raw	GSA	OEE	420000	25	45	1	11	0.804	0.978	0.196	0.022	0.882	0.887	0.789
PerfectMatch	0	QCd	GSA	OEE	420000	25	32	0	11	0.744	1	0.256	0	0.853	0.863	0.744
PerfectMatch	0	Raw	GSA	OEE	420000	30	44	1	11	0.8	0.978	0.2	0.022	0.88	0.884	0.786
PerfectMatch	0	QCd	GSA	OEE	420000	30	31	0	11	0.738	1	0.262	0	0.849	0.859	0.738
PerfectMatch	0	Raw	GSA	OEE	420000	35	44	1	11	0.8	0.978	0.2	0.022	0.88	0.884	0.786
