Matching	Reference	FactorN	MaxD	Min	Med	Mean	Max	StDev	IQR
GSA	OEE	BAF	10000	0	0.11105489634098548	0.13492544275839594	2.317686395195574	0.07993683842574444	0.06491110249371604
GSA	OEE	Distance	10000	0	0.1110652861457792	0.13494097751841502	2.317686395195574	0.08000606650788296	0.06492415926739395
GSA	OEE	Full Set	0	0	0.11174554126573956	0.13650999017219473	2.4240909109073736	0.08249526823569249	0.06646905270577547
GSA	OEE	LRR mean	10000	0	0.11106320452644912	0.1349539341724024	2.317686395195574	0.07999652071729495	0.06493766576513683
GSA	OEE	LRR sd	10000	0	0.11105799404784619	0.13493583470849704	2.317686395195574	0.07996676450263074	0.06492769485439892
GSA	OEE	Perfect Match	0	0.05219572545092357	0.11145454434599378	0.12831258223380157	0.759327635012334	0.053108476851149736	0.054369359499313374
OEE	GSA	BAF	10000	0.04906360069145504	0.12631430704278443	0.14484624878498922	2.436671030059411	0.08693398373264123	0.059949576774919675
OEE	GSA	Distance	10000	0.05148333156241441	0.12647600676716747	0.14407507265702804	2.3334573479769856	0.08204414877956315	0.05954830928047686
OEE	GSA	Full Set	0	0.04906360069145504	0.12555207421449371	0.14479199352311053	2.436671030059411	0.08829656462697569	0.06087249432529597
OEE	GSA	LRR mean	10000	0.05227551356425228	0.1250300251710305	0.1393777626862881	2.3334573479769856	0.06807038336151368	0.05679121304189094
OEE	GSA	LRR sd	10000	0.05259655943053734	0.1235647543602792	0.1386817342763002	2.3334573479769856	0.06851930436910501	0.057060414427446055
OEE	GSA	Perfect Match	0	0.05905264572796612	0.13115854777406807	0.14302190554873753	2.0327004433126796	0.056329500003133984	0.05247949459690872
OMNI	GSA	BAF	10	0.04956070510574584	0.09773263969928597	0.11143026338186322	1.7152610742353165	0.04508131457459123	0.04144910184201245
OMNI	GSA	BAF	100	0.0485614459946779	0.09726733713889626	0.11127769555220626	2.1772737867291956	0.04664699572376572	0.04149993150463954
OMNI	GSA	BAF	1000	0.0485614459946779	0.09653480407586648	0.11137562383730665	2.6160483659783593	0.05037270563383025	0.04210631157681122
OMNI	GSA	BAF	10000	0.04897067451515431	0.09623319998283153	0.11163767091804667	2.5408213631712053	0.05326494828495441	0.042420623139673166
OMNI	GSA	BAF	100000	0.04956070510574584	0.09665139577964132	0.11250346825010783	2.854827090797724	0.05513992364772996	0.043328000183599974
OMNI	GSA	BAF	1000000	0.04897067451515431	0.09680911384794336	0.11286625797606668	2.5408213631712053	0.05624371953524327	0.04357368517421767
OMNI	GSA	BAF	50	0.0485614459946779	0.09753582885207658	0.11142327988236785	2.1772737867291956	0.046109926368063596	0.041508880754071914
OMNI	GSA	BAF	500	0.0485614459946779	0.09674947635652596	0.11138231987313457	2.6160483659783593	0.04962915044555362	0.04192041606885223
OMNI	GSA	BAF	5000	0.04956070510574584	0.09618155686158925	0.11133262392515066	2.854827090797724	0.052172031604503476	0.042194419785700765
OMNI	GSA	BAF	50000	0.04956070510574584	0.0965630079892246	0.11237006993911572	2.5408213631712053	0.054918123690649114	0.043106295143202494
OMNI	GSA	BAF	500000	0.0485614459946779	0.09677144028963074	0.11279984448856333	2.854827090797724	0.05619112917828031	0.043532258521203446
OMNI	GSA	BAF	5000000	0.0483439613042196	0.09710647775549763	0.11330742681435944	2.854827090797724	0.05689342917603413	0.04394443173166698
OMNI	GSA	Distance	10	0.04956070510574584	0.0977361914525942	0.11143623645855988	1.7152610742353165	0.04508798196274616	0.041450285278682664
OMNI	GSA	Distance	100	0.0485614459946779	0.09732802890447022	0.11135617153522408	2.1772737867291956	0.046700551056099	0.04153407727438116
OMNI	GSA	Distance	1000	0.0485614459946779	0.09702518119385446	0.11184774145635341	2.6160483659783593	0.05021420543246698	0.04245618436031179
OMNI	GSA	Distance	10000	0.0485614459946779	0.09721853722338446	0.11235376994931634	2.6160483659783593	0.05189667411355084	0.043031200069864314
OMNI	GSA	Distance	100000	0.0485614459946779	0.09723425631955857	0.11243563968911596	2.6160483659783593	0.0522339066986513	0.043080688299721975
OMNI	GSA	Distance	1000000	0.0485614459946779	0.09724119857645985	0.11245928080247747	2.6160483659783593	0.05229521034165576	0.04311585513650609
OMNI	GSA	Distance	50	0.0485614459946779	0.09755264206662767	0.11146123675041365	2.1772737867291956	0.04621149681050279	0.04151291719973395
OMNI	GSA	Distance	500	0.0485614459946779	0.09699533662361202	0.11161671133375697	2.6160483659783593	0.04933336522082352	0.04205783054793866
OMNI	GSA	Distance	5000	0.0485614459946779	0.09718407765783749	0.11228158311787889	2.6160483659783593	0.0516881868662224	0.04296996776164656
OMNI	GSA	Distance	50000	0.0485614459946779	0.09722909405609977	0.11242931609201536	2.6160483659783593	0.05223616167336455	0.04307686054808256
OMNI	GSA	Distance	500000	0.0485614459946779	0.09724033269917157	0.1124567993997022	2.6160483659783593	0.052296393638991856	0.043112598951471875
OMNI	GSA	Distance	5000000	0.0485614459946779	0.09724456875627235	0.11246332015617158	2.6160483659783593	0.052294598969430894	0.04312321706531519
OMNI	GSA	Full Set	0	0.04390486635905463	0.0967070216874792	0.1126882780851317	2.854827090797724	0.05632874373904623	0.04373724467224577
OMNI	GSA	LRR mean	10	0.04956070510574584	0.09773391249098792	0.11142841580488788	1.7152610742353165	0.04507141474916581	0.04144169139652765
OMNI	GSA	LRR mean	100	0.0485614459946779	0.0972888558357544	0.11119800813977028	2.1772737867291956	0.04620286359695341	0.04146075000561489
OMNI	GSA	LRR mean	1000	0.04956070510574584	0.09761138535233954	0.11124936483443239	2.6160483659783593	0.046676494715897646	0.042635502693401314
OMNI	GSA	LRR mean	10000	0.04956070510574584	0.10317161053127057	0.1182697329157696	2.6160483659783593	0.05050146298982441	0.05261992849938518
OMNI	GSA	LRR mean	100000	0.0485614459946779	0.10573337736883218	0.12539130162122059	2.6160483659783593	0.061107107366603734	0.060528389459698184
OMNI	GSA	LRR mean	1000000	0.0485614459946779	0.10605678221796036	0.1281419504549092	2.6160483659783593	0.07007838848865136	0.06141428604535609
OMNI	GSA	LRR mean	50	0.0485614459946779	0.09754400069877942	0.11140929398449527	2.1772737867291956	0.046000552209476776	0.041505508024829496
OMNI	GSA	LRR mean	500	0.0485614459946779	0.09715545847742216	0.11102826618999169	2.6160483659783593	0.047054922235938025	0.04191430122451614
OMNI	GSA	LRR mean	5000	0.04956070510574584	0.1010768784496253	0.11512568149209543	2.6160483659783593	0.04783923657185292	0.04827996825933413
OMNI	GSA	LRR mean	50000	0.0485614459946779	0.10549268339577825	0.1239446566358336	2.6160483659783593	0.058092427030651934	0.059618315795757174
OMNI	GSA	LRR mean	500000	0.0485614459946779	0.1059585387654669	0.12750559825355598	2.6160483659783593	0.06760613324783744	0.06119681495208423
OMNI	GSA	LRR mean	5000000	0.04956070510574584	0.1062634476846844	0.1292101852939368	2.4673402952346595	0.0753338114407012	0.061654523886186086
OMNI	GSA	LRR sd	10	0.04956070510574584	0.09773498950268	0.11143042458607058	1.7152610742353165	0.04507262357401601	0.041441838618938964
OMNI	GSA	LRR sd	100	0.0485614459946779	0.09731825106920008	0.11122164088485806	2.1772737867291956	0.04617502147802131	0.04137135656790859
OMNI	GSA	LRR sd	1000	0.04956070510574584	0.09789135548704218	0.11147124945253505	2.6160483659783593	0.04646248767663353	0.04140100746852192
OMNI	GSA	LRR sd	10000	0.04956070510574584	0.10305272337395964	0.11811235559966686	2.6160483659783593	0.05042551578962384	0.0508197395044873
OMNI	GSA	LRR sd	100000	0.04909220186687573	0.10460245013644795	0.12416373062449079	2.6160483659783593	0.06090261352145521	0.05713313324288874
OMNI	GSA	LRR sd	1000000	0.0485614459946779	0.10480554047716956	0.12658303252433892	2.6160483659783593	0.06888201942813353	0.05758112391248525
OMNI	GSA	LRR sd	50	0.0485614459946779	0.09755586322978446	0.11141890194743631	2.1772737867291956	0.045994105937176594	0.04149066533429227
OMNI	GSA	LRR sd	500	0.0485614459946779	0.09730557762033096	0.11115527260395916	2.6160483659783593	0.04693166246962252	0.04119043261281784
OMNI	GSA	LRR sd	5000	0.04956070510574584	0.1014414113021008	0.11535586671451153	2.6160483659783593	0.04763502561059785	0.046688054383818914
OMNI	GSA	LRR sd	50000	0.04956070510574584	0.10446505969497054	0.12291049493037674	2.6160483659783593	0.05791492813124467	0.05659745074281915
OMNI	GSA	LRR sd	500000	0.0485614459946779	0.10471592253986982	0.1260129316623491	2.6160483659783593	0.06675156071481649	0.05742688232258032
OMNI	GSA	LRR sd	5000000	0.0483439613042196	0.10492608082879337	0.1275041387363382	2.233459118794336	0.07289098599671158	0.05791882909711342
OMNI	GSA	Perfect Match	0	0.05721458738935717	0.1024349306072376	0.11551346692075226	1.6161346871485776	0.042811832133780266	0.042823894425088604
