Method	MaxD	QC	CNV_Type	CNV_Size	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
PerfectMatch	0	QCd	Deletions	Very Large	32	0	3	0.914	1	0.086	0	0.955	0.956	0.914
PerfectMatch	0	QCd	Deletions	Ultra Large	6	0	0	1	1	0	0	1	1	1
PerfectMatch	0	QCd	Duplications	All	3524	336	46793	0.07	0.913	0.93	0.087	0.13	0.253	0.07
PerfectMatch	0	QCd	Duplications	Small	1757	290	43536	0.039	0.858	0.961	0.142	0.074	0.182	0.039
PerfectMatch	0	QCd	Duplications	Medium	1572	46	3121	0.335	0.972	0.665	0.028	0.498	0.57	0.332
PerfectMatch	0	QCd	Duplications	Large	136	0	98	0.581	1	0.419	0	0.735	0.762	0.581
PerfectMatch	0	QCd	Duplications	Very Large	55	0	37	0.598	1	0.402	0	0.748	0.773	0.598
PerfectMatch	0	QCd	Duplications	Ultra Large	4	0	1	0.8	1	0.2	0	0.889	0.894	0.8
BAF	10	Raw	All	All	21152	3482	229142	0.085	0.859	0.915	0.141	0.154	0.269	0.083
BAF	10	Raw	All	Small	16302	3389	222853	0.068	0.828	0.932	0.172	0.126	0.238	0.067
BAF	10	Raw	All	Medium	4410	92	6154	0.417	0.98	0.583	0.02	0.585	0.639	0.414
BAF	10	Raw	All	Large	295	1	105	0.738	0.997	0.262	0.003	0.848	0.857	0.736
BAF	10	Raw	All	Very Large	133	0	28	0.826	1	0.174	0	0.905	0.909	0.826
BAF	10	Raw	All	Ultra Large	12	0	2	0.857	1	0.143	0	0.923	0.926	0.857
BAF	10	Raw	Deletions	All	11257	1617	173866	0.061	0.874	0.939	0.126	0.114	0.231	0.06
BAF	10	Raw	Deletions	Small	9463	1597	170913	0.052	0.856	0.948	0.144	0.099	0.212	0.052
BAF	10	Raw	Deletions	Medium	1692	20	2913	0.367	0.988	0.633	0.012	0.536	0.603	0.366
BAF	10	Raw	Deletions	Large	46	0	38	0.548	1	0.452	0	0.708	0.74	0.548
BAF	10	Raw	Deletions	Very Large	47	0	1	0.979	1	0.021	0	0.989	0.99	0.979
BAF	10	Raw	Deletions	Ultra Large	9	0	1	0.9	1	0.1	0	0.947	0.949	0.9
BAF	10	Raw	Duplications	All	9895	1865	55276	0.152	0.841	0.848	0.159	0.257	0.357	0.148
BAF	10	Raw	Duplications	Small	6839	1792	51940	0.116	0.792	0.884	0.208	0.203	0.304	0.113
BAF	10	Raw	Duplications	Medium	2718	72	3241	0.456	0.974	0.544	0.026	0.621	0.667	0.451
BAF	10	Raw	Duplications	Large	249	1	67	0.788	0.996	0.212	0.004	0.88	0.886	0.785
BAF	10	Raw	Duplications	Very Large	86	0	27	0.761	1	0.239	0	0.864	0.872	0.761
BAF	10	Raw	Duplications	Ultra Large	3	0	1	0.75	1	0.25	0	0.857	0.866	0.75
BAF	10	QCd	All	All	12636	1217	236228	0.051	0.912	0.949	0.088	0.096	0.215	0.051
BAF	10	QCd	All	Small	8308	1176	229646	0.035	0.876	0.965	0.124	0.067	0.175	0.035
BAF	10	QCd	All	Medium	3937	40	6417	0.38	0.99	0.62	0.01	0.549	0.614	0.379
BAF	10	QCd	All	Large	259	1	125	0.674	0.996	0.326	0.004	0.804	0.82	0.673
BAF	10	QCd	All	Very Large	120	0	38	0.759	1	0.241	0	0.863	0.871	0.759
BAF	10	QCd	All	Ultra Large	12	0	2	0.857	1	0.143	0	0.923	0.926	0.857
BAF	10	QCd	Deletions	All	6295	648	178119	0.034	0.907	0.966	0.093	0.066	0.176	0.034
BAF	10	QCd	Deletions	Small	4585	637	175172	0.026	0.878	0.974	0.122	0.05	0.15	0.025
BAF	10	QCd	Deletions	Medium	1615	11	2907	0.357	0.993	0.643	0.007	0.525	0.596	0.356
BAF	10	QCd	Deletions	Large	42	0	38	0.525	1	0.475	0	0.689	0.725	0.525
BAF	10	QCd	Deletions	Very Large	44	0	1	0.978	1	0.022	0	0.989	0.989	0.978
BAF	10	QCd	Deletions	Ultra Large	9	0	1	0.9	1	0.1	0	0.947	0.949	0.9
BAF	10	QCd	Duplications	All	6341	569	58109	0.098	0.918	0.902	0.082	0.178	0.3	0.098
BAF	10	QCd	Duplications	Small	3723	539	54474	0.064	0.874	0.936	0.126	0.119	0.236	0.063
BAF	10	QCd	Duplications	Medium	2322	29	3510	0.398	0.988	0.602	0.012	0.568	0.627	0.396
BAF	10	QCd	Duplications	Large	217	1	87	0.714	0.995	0.286	0.005	0.831	0.843	0.711
BAF	10	QCd	Duplications	Very Large	76	0	37	0.673	1	0.327	0	0.804	0.82	0.673
BAF	10	QCd	Duplications	Ultra Large	3	0	1	0.75	1	0.25	0	0.857	0.866	0.75
BAF	50	Raw	All	All	25416	3671	219612	0.104	0.874	0.896	0.126	0.185	0.301	0.102
BAF	50	Raw	All	Small	19613	3550	213990	0.084	0.847	0.916	0.153	0.153	0.267	0.083
BAF	50	Raw	All	Medium	5353	120	5497	0.493	0.978	0.507	0.022	0.656	0.695	0.488
BAF	50	Raw	All	Large	305	1	99	0.755	0.997	0.245	0.003	0.859	0.867	0.753
BAF	50	Raw	All	Very Large	132	0	24	0.846	1	0.154	0	0.917	0.92	0.846
BAF	50	Raw	All	Ultra Large	13	0	2	0.867	1	0.133	0	0.929	0.931	0.867
BAF	50	Raw	Deletions	All	14303	1635	166132	0.079	0.897	0.921	0.103	0.146	0.267	0.079
BAF	50	Raw	Deletions	Small	11842	1586	163483	0.068	0.882	0.932	0.118	0.125	0.244	0.067
BAF	50	Raw	Deletions	Medium	2362	49	2610	0.475	0.98	0.525	0.02	0.64	0.682	0.47
BAF	50	Raw	Deletions	Large	44	0	37	0.543	1	0.457	0	0.704	0.737	0.543
